userId,movieId,rating
0,0,4.0
0,1,5.0
0,2,5.0
0,3,4.0
0,4,4.0
0,5,3.0
0,6,3.0
0,7,4.0
0,8,5.0
0,9,4.0
0,10,3.0
0,11,3.0
0,12,3.0
0,13,3.0
0,14,1.0
0,15,3.0
0,16,3.0
0,17,4.0
0,18,4.0
0,19,5.0
0,20,5.0
0,21,3.0
0,22,4.0
0,23,3.0
0,24,2.0
0,25,3.0
0,26,4.0
0,27,4.0
0,28,3.0
0,29,3.0
0,30,3.0
0,31,3.0
0,32,2.0
0,33,3.0
0,34,3.0
0,35,4.0
0,36,3.0
0,37,2.0
0,38,4.0
0,39,3.0
0,40,3.0
0,41,4.0
0,42,4.0
0,43,4.0
0,44,4.0
0,45,3.0
0,46,5.0
0,47,3.0
0,48,3.0
0,49,3.0
0,50,3.0
0,51,5.0
0,52,5.0
0,53,5.0
0,54,3.0
0,55,4.0
1,0,4.0
1,56,5.0
1,57,5.0
1,9,4.0
1,58,3.0
1,12,3.0
1,59,5.0
1,22,5.0
1,60,3.0
1,26,5.0
1,28,5.0
1,29,5.0
1,30,5.0
1,31,4.0
1,61,3.0
1,34,3.0
1,62,4.0
1,63,1.0
1,64,4.0
1,65,4.0
1,38,5.0
1,66,5.0
1,50,5.0
1,51,5.0
1,52,3.0
1,67,5.0
1,68,5.0
1,69,5.0
1,70,5.0
1,71,4.0
1,72,5.0
1,73,5.0
1,74,5.0
1,75,5.0
1,76,5.0
1,77,5.0
1,78,5.0
1,79,5.0
1,80,5.0
1,81,5.0
1,82,5.0
1,83,5.0
1,84,5.0
1,85,5.0
1,86,5.0
1,87,5.0
1,88,5.0
1,89,5.0
1,90,5.0
1,91,5.0
1,92,5.0
1,93,5.0
1,94,5.0
1,95,5.0
1,96,5.0
1,97,5.0
1,98,5.0
1,99,4.0
1,100,5.0
1,101,5.0
1,102,5.0
1,103,5.0
1,104,4.0
1,105,5.0
1,106,5.0
1,107,4.0
1,108,4.0
1,109,4.0
1,110,3.0
1,111,3.0
1,112,5.0
1,113,5.0
1,114,5.0
1,115,3.0
1,116,5.0
1,117,5.0
1,118,4.0
1,119,5.0
1,120,5.0
1,121,5.0
1,122,5.0
1,123,5.0
1,124,3.0
1,125,5.0
1,126,4.0
1,127,5.0
1,128,5.0
1,129,5.0
1,130,5.0
1,131,5.0
1,132,5.0
1,133,5.0
1,134,5.0
1,135,5.0
1,136,4.0
1,137,4.0
1,138,5.0
1,139,1.0
1,140,5.0
1,141,5.0
1,142,5.0
1,143,4.0
1,144,5.0
1,145,5.0
1,146,4.0
1,147,4.0
2,148,4.0
2,2,4.0
2,149,4.0
2,57,4.0
2,8,4.0
2,150,3.5
2,151,3.5
2,28,4.0
2,30,4.0
2,31,4.0
2,33,4.0
2,64,4.0
2,41,4.5
2,48,4.0
2,50,3.5
2,152,4.0
2,153,5.0
2,154,3.5
2,69,2.5
2,70,3.5
2,73,4.0
2,74,4.0
2,155,5.0
